Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT3,PM10,05/09/2006 00:00,,ug/m3,R
CT3,PM10,06/09/2006 00:00,,ug/m3,R
CT3,PM10,07/09/2006 00:00,11.00000,ug/m3,R
CT3,PM10,08/09/2006 00:00,10.00000,ug/m3,R
CT3,PM10,09/09/2006 00:00,17.00000,ug/m3,R
CT3,PM10,10/09/2006 00:00,19.00000,ug/m3,R
CT3,PM10,11/09/2006 00:00,28.00000,ug/m3,R
CT3,PM10,12/09/2006 00:00,18.00000,ug/m3,R
CT3,PM10,13/09/2006 00:00,16.00000,ug/m3,R
CT3,PM10,14/09/2006 00:00,,ug/m3,R
CT3,PM10,15/09/2006 00:00,,ug/m3,R
CT3,PM10,16/09/2006 00:00,35.00000,ug/m3,R
CT3,PM10,17/09/2006 00:00,25.00000,ug/m3,R
CT3,PM10,18/09/2006 00:00,6.00000,ug/m3,R
CT3,PM10,19/09/2006 00:00,11.00000,ug/m3,R
CT3,PM10,20/09/2006 00:00,10.00000,ug/m3,R
CT3,PM10,21/09/2006 00:00,10.00000,ug/m3,R
CT3,PM10,22/09/2006 00:00,5.00000,ug/m3,R
CT3,PM10,23/09/2006 00:00,12.00000,ug/m3,R
CT3,PM10,24/09/2006 00:00,12.00000,ug/m3,R
CT3,PM10,25/09/2006 00:00,14.00000,ug/m3,R
CT3,PM10,26/09/2006 00:00,8.00000,ug/m3,R
CT3,PM10,27/09/2006 00:00,8.00000,ug/m3,R
CT3,PM10,28/09/2006 00:00,5.00000,ug/m3,R
CT3,PM10,29/09/2006 00:00,3.00000,ug/m3,R
CT3,PM10,30/09/2006 00:00,4.00000,ug/m3,R
CT3,PM10,01/10/2006 00:00,9.00000,ug/m3,R
CT3,PM10,02/10/2006 00:00,7.00000,ug/m3,R
CT3,PM10,03/10/2006 00:00,7.00000,ug/m3,R
CT3,PM10,04/10/2006 00:00,7.00000,ug/m3,R
CT3,PM10,05/10/2006 00:00,6.00000,ug/m3,R
CT3,PM10,06/10/2006 00:00,7.00000,ug/m3,R
CT3,PM10,07/10/2006 00:00,6.00000,ug/m3,R
CT3,PM10,08/10/2006 00:00,9.00000,ug/m3,R
CT3,PM10,09/10/2006 00:00,13.00000,ug/m3,R
CT3,PM10,10/10/2006 00:00,18.00000,ug/m3,R
CT3,PM10,11/10/2006 00:00,24.00000,ug/m3,R
CT3,PM10,12/10/2006 00:00,18.00000,ug/m3,R
CT3,PM10,13/10/2006 00:00,38.00000,ug/m3,R
CT3,PM10,14/10/2006 00:00,38.00000,ug/m3,R
CT3,PM10,15/10/2006 00:00,54.00000,ug/m3,R
CT3,PM10,16/10/2006 00:00,70.00000,ug/m3,R
CT3,PM10,17/10/2006 00:00,43.00000,ug/m3,R
CT3,PM10,18/10/2006 00:00,38.00000,ug/m3,R
CT3,PM10,19/10/2006 00:00,29.00000,ug/m3,R
CT3,PM10,20/10/2006 00:00,20.00000,ug/m3,R
